"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z200","2020-04-05 00:00:00","153.000","60.000","1.700","17.200","0.990","1004.500","","0.500","-99.000","-99.000","-99.000","20.800","","17.000",""
"C0K520","2020-04-05 00:00:00","10.000","23.000","3.600","18.000","0.710","1016.300","","0.000","-99.000","-99.000","-99.000","23.400","","17.900",""
"C0X250","2020-04-05 00:00:00","33.000","17.000","3.500","17.600","0.750","1014.300","","0.000","-99.000","-99.000","-99.000","25.500","","17.600",""
"C0S940","2020-04-05 00:00:00","150.000","17.000","1.900","17.900","0.940","1002.600","","0.500","-99.000","-99.000","-99.000","22.700","","17.900",""
"CM0110","2020-04-05 00:00:00","7.000","43.000","6.200","17.800","0.640","1018.300","","-99.000","12.300","58.000","","22.300","","17.800",""
"C0A970","2020-04-05 00:00:00","96.000","12.000","8.000","17.000","0.880","1011.200","","4.000","-99.000","-99.000","-99.000","17.500","","16.000",""
"C0M700","2020-04-05 00:00:00","150.000","345.000","0.500","17.600","0.860","1001.400","","0.000","-99.000","-99.000","-99.000","26.000","","17.400",""
"C0U990","2020-04-05 00:00:00","31.000","276.000","1.400","16.400","0.920","1019.500","","0.500","-99.000","-99.000","-99.000","20.400","","16.400",""
"C0D590","2020-04-05 00:00:00","143.000","53.000","2.600","16.000","0.720","1004.900","","0.500","-99.000","-99.000","-99.000","18.800","","15.900",""
"C0S790","2020-04-05 00:00:00","236.000","360.000","1.200","18.000","0.960","994.200","","0.000","-99.000","-99.000","-99.000","27.900","","17.900",""
"C0A570","2020-04-05 00:00:00","360.000","0.000","0.000","13.500","0.990","980.700","","3.000","-99.000","-99.000","-99.000","16.000","","13.400",""
"C0M800","2020-04-05 00:00:00","440.000","200.000","0.600","19.200","0.900","967.600","","0.000","-99.000","-99.000","-99.000","25.900","","18.400",""
"C0E870","2020-04-05 00:00:00","34.000","38.000","3.300","17.300","0.680","1017.800","","0.000","-99.000","-99.000","-99.000","20.000","","17.200",""
"C0V490","2020-04-05 00:00:00","20.000","352.000","2.200","20.200","0.750","1015.100","","0.000","-99.000","-99.000","-99.000","28.100","","20.200",""
"C0M710","2020-04-05 00:00:00","15.000","13.000","4.100","18.300","0.700","1016.800","","0.000","10.500","4.000","","23.600","","18.200",""
"C0D570","2020-04-05 00:00:00","15.000","29.000","0.300","16.900","0.760","1018.900","","0.000","-99.000","-99.000","-99.000","20.600","","16.900",""
"C0S910","2020-04-05 00:00:00","212.000","35.000","9.400","20.800","0.990","994.900","","5.500","15.800","42.000","","25.000","","20.100",""
"C0M650","2020-04-05 00:00:00","20.000","6.000","3.300","17.600","0.730","1016.400","","0.000","-99.000","-99.000","-99.000","24.300","","17.600",""
"C0K280","2020-04-05 00:00:00","23.000","12.000","5.100","18.100","0.710","1017.900","","0.000","-99.000","-99.000","-99.000","25.000","","18.100",""
"C0X310","2020-04-05 00:00:00","9.000","11.000","8.000","18.700","0.740","1017.700","","0.000","-99.000","-99.000","-99.000","24.000","","18.600",""
"C0A9C0","2020-04-05 00:00:00","35.000","278.000","1.200","17.900","0.670","1018.000","","0.000","-99.000","-99.000","-99.000","19.100","","17.100",""
"C0V810","2020-04-05 00:00:00","32.000","330.000","2.700","19.100","0.810","1012.700","","0.000","-99.000","-99.000","-99.000","26.500","","19.100",""
"C0E730","2020-04-05 00:00:00","26.000","48.000","2.300","17.300","0.680","1015.800","","0.000","8.100","56.000","","20.200","","17.200",""
"C0V770","2020-04-05 00:00:00","26.000","336.000","1.200","19.200","0.770","1014.200","","0.000","-99.000","-99.000","-99.000","29.100","","19.200",""
"C0UA10","2020-04-05 00:00:00","1711.000","0.000","0.000","7.800","1.000","835.700","","3.500","-99.000","-99.000","-99.000","13.300","","7.800",""
"C0R660","2020-04-05 00:00:00","20.000","67.000","1.700","22.000","0.800","1015.000","","0.000","-99.000","-99.000","-99.000","27.200","","21.000",""
"C0M640","2020-04-05 00:00:00","155.000","8.000","0.500","17.100","0.850","999.900","","0.000","-99.000","-99.000","-99.000","25.300","","17.000",""
"C0S660","2020-04-05 00:00:00","794.000","118.000","1.000","15.300","1.000","931.700","","0.000","-99.000","-99.000","-99.000","22.300","","15.300",""
"C0G900","2020-04-05 00:00:00","20.000","27.000","6.000","18.000","0.740","1015.300","","0.000","12.400","12.000","","22.300","","18.000",""
"C0AD40","2020-04-05 00:00:00","32.000","96.000","1.400","16.700","0.720","1017.700","","0.000","-99.000","-99.000","-99.000","18.100","","16.200",""
"C0UA00","2020-04-05 00:00:00","392.000","0.000","0.000","13.700","0.960","977.700","","0.500","-99.000","-99.000","-99.000","22.200","","13.700",""
"C0I080","2020-04-05 00:00:00","536.000","0.000","0.000","16.700","0.940","959.500","","0.000","-99.000","-99.000","-99.000","25.800","","16.600",""
"C0UA30","2020-04-05 00:00:00","1397.000","0.000","0.000","8.200","1.000","865.300","","8.500","-99.000","-99.000","-99.000","13.600","","8.200",""
"C0Z270","2020-04-05 00:00:00","343.000","9.000","2.500","15.600","0.980","982.100","","4.000","-99.000","-99.000","-99.000","18.500","","15.600",""
"C0G750","2020-04-05 00:00:00","31.000","354.000","4.300","17.300","0.720","1015.800","","-99.000","-99.000","-99.000","-99.000","23.300","","17.200",""
"C0A550","2020-04-05 00:00:00","422.000","0.000","0.000","12.900","1.000","973.800","","6.500","-99.000","-99.000","-99.000","15.300","","12.700",""
"C0G830","2020-04-05 00:00:00","27.000","8.000","3.300","17.200","0.930","1013.700","","0.000","-99.000","-99.000","-99.000","23.000","","17.100",""
"C0E810","2020-04-05 00:00:00","53.000","24.000","3.300","16.100","0.780","1013.900","","0.000","-99.000","-99.000","-99.000","19.200","","16.000",""
"C0R640","2020-04-05 00:00:00","21.000","348.000","1.900","21.300","0.800","1014.400","","0.000","-99.000","-99.000","-99.000","27.100","","21.300",""
"C0D580","2020-04-05 00:00:00","120.000","0.000","0.000","16.000","0.800","1006.500","","0.000","-99.000","-99.000","-99.000","18.800","","15.800",""
"C0M660","2020-04-05 00:00:00","40.000","15.000","3.200","17.500","0.750","1014.300","","0.000","-99.000","-99.000","-99.000","24.300","","17.500",""
"C0K330","2020-04-05 00:00:00","38.000","357.000","2.000","17.300","0.770","1013.600","","0.000","-99.000","-99.000","-99.000","24.800","","17.300",""
"C0R590","2020-04-05 00:00:00","72.000","354.000","0.800","20.000","0.990","1008.400","","0.000","-99.000","-99.000","-99.000","28.800","","20.000",""
"C0G820","2020-04-05 00:00:00","29.000","6.000","0.700","17.600","0.780","1014.400","","0.000","-99.000","-99.000","-99.000","24.800","","17.600",""
"C0U600","2020-04-05 00:00:00","10.000","0.000","0.100","16.600","0.890","1020.400","","0.500","-99.000","-99.000","-99.000","21.300","","16.600",""
"C0U910","2020-04-05 00:00:00","17.000","315.000","2.200","16.800","0.810","1020.100","","0.000","-99.000","-99.000","-99.000","20.300","","16.800",""
"C0V630","2020-04-05 00:00:00","19.000","4.000","3.800","18.700","0.740","1015.300","","0.000","-99.000","-99.000","-99.000","26.600","","18.700",""
"C0D650","2020-04-05 00:00:00","97.000","58.000","3.900","16.400","0.690","1009.500","","1.000","-99.000","-99.000","-99.000","18.100","","16.300",""
"C0K510","2020-04-05 00:00:00","10.000","9.000","3.700","17.800","0.720","1016.400","","0.000","-99.000","-99.000","-99.000","23.900","","17.800",""
"C0V360","2020-04-05 00:00:00","94.000","0.000","0.100","17.800","0.810","1006.300","","0.000","-99.000","-99.000","-99.000","30.600","","17.800",""
"C0M780","2020-04-05 00:00:00","30.000","39.000","1.700","17.600","0.740","1015.200","","0.000","-99.000","-99.000","-99.000","25.700","","17.500",""
"C0K530","2020-04-05 00:00:00","12.000","29.000","6.000","18.400","0.720","1017.000","","0.000","-99.000","-99.000","-99.000","22.500","","18.400",""
"C0V750","2020-04-05 00:00:00","50.000","360.000","2.700","19.000","0.820","1012.900","","0.000","-99.000","-99.000","-99.000","28.200","","19.000",""
"C0T790","2020-04-05 00:00:00","2830.000","284.000","0.700","6.100","0.960","728.200","","0.000","-99.000","-99.000","-99.000","15.800","","5.900",""
"C0S730","2020-04-05 00:00:00","110.000","29.000","11.300","19.700","0.960","1005.800","","8.500","16.500","20.000","","23.200","","19.700",""
"C0F0D0","2020-04-05 00:00:00","3171.000","148.000","3.000","3.500","1.000","698.900","","0.000","-99.000","-99.000","-99.000","10.300","","3.000",""
"C0F9X0","2020-04-05 00:00:00","166.000","31.000","4.200","15.900","0.830","1003.300","","0.000","-99.000","-99.000","-99.000","20.900","","15.900",""
"C0F9Q0","2020-04-05 00:00:00","149.000","219.000","1.400","16.500","0.770","1000.100","","0.000","-99.000","-99.000","-99.000","22.200","","16.300",""
"C0E780","2020-04-05 00:00:00","160.000","340.000","0.700","16.000","0.780","1001.000","","0.000","-99.000","-99.000","-99.000","20.000","","15.800",""
"C0SA80","2020-04-05 00:00:00","136.000","0.000","0.200","19.500","0.970","1003.700","","1.500","-99.000","-99.000","-99.000","25.200","","19.400",""
"C0T960","2020-04-05 00:00:00","120.000","339.000","0.900","16.500","0.990","1007.300","","2.500","-99.000","-99.000","-99.000","20.600","","16.500",""
"C0X320","2020-04-05 00:00:00","30.000","9.000","3.400","17.500","0.820","1013.800","","0.000","-99.000","-99.000","-99.000","27.100","","17.500",""
"C0UA50","2020-04-05 00:00:00","808.000","304.000","2.700","10.400","1.000","929.400","","14.000","-99.000","-99.000","-99.000","16.700","","10.400",""
"C0U860","2020-04-05 00:00:00","5.000","21.000","1.200","18.300","0.640","1021.800","","0.000","-99.000","-99.000","-99.000","20.900","","18.100",""
"C0F0C0","2020-04-05 00:00:00","983.000","0.000","0.200","15.500","0.990","907.800","","0.000","-99.000","-99.000","-99.000","21.400","","14.500",""
"C0D480","2020-04-05 00:00:00","223.000","0.000","0.000","14.600","0.840","993.400","","0.500","-99.000","-99.000","-99.000","17.800","","14.400",""
"C0K291","2020-04-05 00:00:00","8.000","12.000","5.700","18.500","0.720","1017.600","","0.000","11.800","346.000","","23.700","","18.500",""
"C0X170","2020-04-05 00:00:00","50.000","34.000","2.300","18.400","0.820","1011.400","","0.000","-99.000","-99.000","-99.000","27.900","","18.400",""
"C0AH30","2020-04-05 00:00:00","755.000","359.000","5.200","11.800","1.000","935.300","","16.000","-99.000","-99.000","-99.000","15.000","","11.600",""
"C0R130","2020-04-05 00:00:00","1040.000","93.000","2.700","16.800","0.930","900.100","","0.000","-99.000","-99.000","-99.000","24.700","","16.500",""
"C0M790","2020-04-05 00:00:00","15.000","17.000","2.900","17.500","0.730","1015.500","","0.000","-99.000","-99.000","-99.000","25.100","","17.500",""
"C0C590","2020-04-05 00:00:00","72.000","64.000","1.600","16.500","0.700","1012.000","","1.500","-99.000","-99.000","-99.000","17.800","","16.300",""
"C0G780","2020-04-05 00:00:00","27.000","14.000","2.400","17.700","0.730","1015.100","","0.000","7.900","15.000","","22.900","","17.700",""
"C0V660","2020-04-05 00:00:00","25.000","5.000","3.000","18.900","0.800","1014.900","","0.000","-99.000","-99.000","-99.000","28.600","","18.900",""
"C0F9R0","2020-04-05 00:00:00","20.000","47.000","3.800","17.300","0.870","1017.300","","0.000","-99.000","-99.000","-99.000","21.800","","17.200",""
"C0W130","2020-04-05 00:00:00","18.000","18.000","7.400","19.200","0.780","1015.700","","0.000","18.800","18.000","","21.100","","18.500",""
"C0C700","2020-04-05 00:00:00","151.000","67.000","1.400","15.800","0.740","1004.000","","1.000","-99.000","-99.000","-99.000","16.900","","15.600",""
"C0R100","2020-04-05 00:00:00","1006.000","258.000","0.700","16.000","0.990","906.200","","0.000","-99.000","-99.000","-99.000","23.400","","15.600",""
"C0X120","2020-04-05 00:00:00","28.000","356.000","4.100","17.900","0.800","1016.000","","0.000","-99.000","-99.000","-99.000","26.000","","17.900",""
"C0R670","2020-04-05 00:00:00","26.000","75.000","5.200","23.200","0.670","1014.700","","0.000","14.300","70.000","","29.500","","23.100",""
"C0W110","2020-04-05 00:00:00","16.000","26.000","7.200","14.900","0.710","1022.200","","0.000","-99.000","-99.000","-99.000","15.200","","13.000",""
